Rk_playoff,Tm,Age_playoff,W_playoff,L_playoff,W/L%,PW_playoff,PL_playoff,ORtg_playoff,DRtg_playoff,NRtg_playoff,Pace_playoff,FTr_playoff,3PAr_playoff,TS%_playoff,Offense_Four_Factors_eFG%_playoff,Offense_Four_Factors_TOV%_playoff,Offense_Four_Factors_ORB%_playoff,Offense_Four_Factors_FT/FGA_playoff,Defense_Four_Factors_eFG%_playoff,Defense_Four_Factors_TOV%_playoff,Defense_Four_Factors_DRB%_playoff,Defense_Four_Factors_FT/FGA_playoff,Rk_in_season,Age_in_season,W_in_season,L_in_season,PW_in_season,PL_in_season,MOV,SOS,SRS,ORtg_in_season,DRtg_in_season,NRtg_in_season,Pace_in_season,FTr_in_season,3PAr_in_season,TS%_in_season,Offense_Four_Factors_eFG%_in_season,Offense_Four_Factors_TOV%_in_season,Offense_Four_Factors_ORB%_in_season,Offense_Four_Factors_FT/FGA_in_season,Defense_Four_Factors_eFG%_in_season,Defense_Four_Factors_TOV%_in_season,Defense_Four_Factors_DRB%_in_season,Defense_Four_Factors_FT/FGA_in_season,Arena,Attend.,Attend./G,season_year,logo_url
5.0,Utah Jazz,26.8,3.0,4.0,0.429,4.0,3.0,122.2,118.5,3.7,91.5,0.284,0.455,0.616,0.583,11.5,22.8,0.22,0.554,11.4,75.1,0.169,9.0,27.3,44.0,28.0,42,30,2.47,0.05,2.52,112.3,109.9,2.4,98.6,0.268,0.414,0.585,0.549,13.7,21.6,0.208,0.518,11.1,78.9,0.185,Vivint Smart Home Arena,567486.0,18306.0,2020,https://a.espncdn.com/i/teamlogos/nba/500/utah.png
6.0,Miami Heat,27.1,14.0,7.0,0.667,12.0,9.0,113.5,111.5,2.0,95.9,0.322,0.433,0.587,0.537,12.3,19.1,0.266,0.529,13.0,77.3,0.215,7.0,25.9,44.0,29.0,43,30,2.95,-0.35,2.59,112.5,109.5,3.0,98.3,0.299,0.419,0.587,0.547,13.5,20.3,0.234,0.523,12.6,79.5,0.213,AmericanAirlines Arena,629771.0,19680.0,2020,https://a.espncdn.com/i/teamlogos/nba/500/mia.png
7.0,Milwaukee Bucks,29.8,5.0,5.0,0.5,5.0,5.0,109.7,108.5,1.2,100.3,0.279,0.426,0.568,0.537,13.2,20.5,0.202,0.527,13.5,83.8,0.241,1.0,29.2,56.0,17.0,57,16,10.08,-0.67,9.41,112.4,102.9,9.5,105.1,0.271,0.428,0.583,0.552,12.9,20.7,0.201,0.489,12.0,81.6,0.178,Fiserv Forum,549036.0,17711.0,2020,https://a.espncdn.com/i/teamlogos/nba/500/mil.png
8.0,Houston Rockets,30.2,5.0,7.0,0.417,6.0,6.0,108.3,107.5,0.8,98.6,0.235,0.545,0.569,0.535,12.4,14.6,0.186,0.534,15.4,78.0,0.209,8.0,29.2,44.0,28.0,42,30,2.96,0.17,3.13,112.9,110.1,2.8,103.7,0.288,0.501,0.578,0.537,12.6,21.0,0.228,0.529,13.7,75.6,0.197,Toyota Center,578458.0,18077.0,2020,https://a.espncdn.com/i/teamlogos/nba/500/hou.png
9.0,Denver Nuggets,25.2,9.0,10.0,0.474,8.0,11.0,113.6,116.0,-2.4,94.1,0.26,0.392,0.584,0.545,13.2,23.0,0.212,0.551,12.7,76.8,0.233,11.0,25.6,46.0,27.0,41,32,2.11,0.24,2.35,113.1,111.0,2.1,97.1,0.235,0.344,0.567,0.535,12.3,24.8,0.183,0.533,12.9,76.8,0.198,Pepsi Center,633153.0,19186.0,2020,https://a.espncdn.com/i/teamlogos/nba/500/den.png
10.0,Oklahoma City Thunder,25.7,3.0,4.0,0.429,2.0,5.0,102.4,108.7,-6.3,100.1,0.281,0.428,0.542,0.5,15.0,20.1,0.217,0.535,11.5,84.6,0.146,13.0,25.5,44.0,28.0,41,31,1.99,0.34,2.33,110.8,108.8,2.0,98.8,0.29,0.353,0.573,0.53,12.4,19.3,0.231,0.518,12.6,76.8,0.173,Chesapeake Energy Arena,600699.0,18203.0,2020,https://a.espncdn.com/i/teamlogos/nba/500/okc.png
11.0,Orlando Magic,27.0,1.0,4.0,0.2,1.0,4.0,102.5,111.3,-8.8,104.4,0.237,0.449,0.547,0.505,13.0,13.5,0.199,0.572,14.5,82.0,0.177,16.0,26.1,33.0,40.0,34,39,-1.01,0.09,-0.93,108.5,109.5,-1.0,98.6,0.256,0.364,0.544,0.506,11.5,22.3,0.198,0.535,13.2,79.1,0.176,Amway Center,529870.0,17093.0,2020,https://a.espncdn.com/i/teamlogos/nba/500/orl.png
12.0,Dallas Mavericks,26.2,2.0,4.0,0.333,1.0,5.0,112.7,122.0,-9.3,102.1,0.297,0.421,0.58,0.549,11.2,16.9,0.215,0.579,10.5,80.4,0.248,6.0,26.1,43.0,32.0,49,26,4.95,-0.07,4.87,116.7,111.7,5.0,99.3,0.264,0.457,0.581,0.545,11.2,23.2,0.206,0.525,10.6,77.7,0.175,American Airlines Center,682096.0,20062.0,2020,https://a.espncdn.com/i/teamlogos/nba/500/dal.png
13.0,Portland Trail Blazers,26.6,1.0,4.0,0.2,1.0,4.0,104.6,115.0,-10.4,101.9,0.283,0.347,0.537,0.492,13.9,21.4,0.224,0.552,13.0,72.7,0.222,19.0,27.5,35.0,39.0,34,40,-1.15,0.54,-0.61,113.7,114.8,-1.1,100.7,0.242,0.374,0.57,0.533,11.2,22.4,0.194,0.53,11.2,75.3,0.208,Moda Center,628303.0,19634.0,2020,https://a.espncdn.com/i/teamlogos/nba/500/por.png
14.0,Indiana Pacers,26.2,0.0,4.0,0.0,1.0,3.0,104.2,115.1,-10.9,96.7,0.252,0.399,0.565,0.53,14.6,13.7,0.196,0.545,13.2,76.9,0.288,12.0,25.6,45.0,28.0,41,32,1.96,-0.33,1.63,110.0,108.0,2.0,98.9,0.216,0.317,0.565,0.534,12.0,20.0,0.17,0.511,13.0,76.7,0.192,Bankers Life Fieldhouse,529002.0,16531.0,2020,https://a.espncdn.com/i/teamlogos/nba/500/ind.png
